userID,username,name,created_at,followers_count,following_count,tweet_count,ESPN_name,conference,state,institution_name
44724322,BeaverWBB,Oregon State WBB,2009-06-04 21:10:13+00:00,19758,289,28729,Oregon State Beavers,Pac-12,OR,Oregon State University
69379688,PennStateWBB,Penn State Women's Basketball,2009-08-27 19:26:21+00:00,13245,467,18408,Penn State Lady Lions,Big Ten,PA,The Pennsylvania State University
809654004,WavesHoops,Pepperdine Women’s Basketball,2012-09-07 21:45:47+00:00,4049,65,10836,Pepperdine Waves,West Coast,CA,Pepperdine University
2828848856,psuviksWBB,Portland State Women’s Basketball,2014-09-23 22:36:39+00:00,3353,1522,7661,Portland State Vikings,Big Sky,OR,Portland State University
1004214443327328261,PVAMU_WBB,Prairie View A&M Women's Basketball,2018-06-06 04:12:35+00:00,3628,1858,5163,Prairie View A&M Lady Panthers,SWAC,TX,Prairie View A & M University
3402840345,bluehosewbb,Presbyterian Women’s Basketball,2015-08-04 16:00:40+00:00,5340,436,4185,Presbyterian Blue Hose,Big South,SC,Presbyterian College
1491010495,PrincetonWBB,Princeton WBB,2013-06-07 18:16:08+00:00,10689,262,8300,Princeton Tigers,Ivy,NJ,Princeton University
1449042656,ProvidenceWBB,ProvidenceWBB,2013-05-22 14:05:11+00:00,6890,405,9528,Providence Friars,Big East,RI,Providence College
38053254,PurdueWBB,Purdue Women's Basketball,2009-05-05 23:35:03+00:00,16534,373,26961,Purdue Boilermakers,Big Ten,IN,Purdue University-Main Campus
2773401133,MastodonWBB,Purdue Fort Wayne WBB,2014-08-27 14:12:33+00:00,3225,262,5741,Purdue Fort Wayne Mastodons,Horizon,IN,Purdue University Fort Wayne
819603937,QueensWBB,Queens (N.C.) Women’s Basketball,2012-09-12 13:48:52+00:00,3720,1446,1898,Queens University Royals,ASUN,NC,Queens University of Charlotte
2478765997,QU_WBB,Quinnipiac Women's Basketball,2014-05-05 19:22:02+00:00,5146,243,9707,Quinnipiac Bobcats,MAAC,CT,Quinnipiac University
1488563226,Radford_WBB,Radford Women's Basketball,2013-06-06 19:54:12+00:00,8067,317,9875,Radford Highlanders,Big South,VA,Radford University
789934286,RiceWBB,Rice Women’s Basketball,2012-08-29 18:49:52+00:00,6682,246,13555,Rice Owls,Conference USA,TX,Rice University
183692406,RiderWBB,Rider Women’s Basketball,2010-08-27 17:12:40+00:00,7278,1302,11127,Rider Broncs,MAAC,NJ,Rider University
3740773457,RMUWBasketball,RMU Basketball,2015-09-22 17:05:08+00:00,3484,656,9498,Robert Morris Colonials,Horizon,PA,Robert Morris University
900368808,RutgersWBB,Rutgers W.Basketball,2012-10-23 18:42:48+00:00,11042,389,15001,Rutgers Scarlet Knights,Big Ten,NJ,Rutgers University-New Brunswick
1653399854,SacredHeartWBB,Sacred Heart WBB,2013-08-07 16:53:18+00:00,6290,1267,5037,Sacred Heart Pioneers,Northeast,CT,Sacred Heart University
